"campus","sample_type","sample_subtype","classcode","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id","common_name","notes","size_cutoff","LOOKED1999","LOOKED2000","LOOKED2001","LOOKED2002","LOOKED2003","LOOKED2004","LOOKED2005","LOOKED2006","LOOKED2007","LOOKED2008","LOOKED2009","LOOKED2010","LOOKED2011","LOOKED2012","LOOKED2013","LOOKED2014","LOOKED2015","LOOKED2016","LOOKED2017","LOOKED2018","LOOKED2019"
"UCSB","FISH","FISH","AOCE","Animalia","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys","ocellatus","Anarrhichthys ocellatus","WoRMS",NA,"Wolf Eel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","AOCE","Animalia","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys","ocellatus","Anarrhichthys ocellatus","WoRMS",NA,"Wolf Eel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","APFL","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Apodichthys","flavidus","Apodichthys flavidus","WoRMS",NA,"Penpiont Gunnel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","ATHE","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinopsidae","spp","Atherinopsidae","WoRMS",NA,"Grunion, Topsmelt Or Jacksmelt",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","ATHE","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinopsidae","spp","Atherinopsidae","WoRMS",NA,"Grunion, Topsmelt Or Jacksmelt",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AVUL","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","vulpinus","Alopias vulpinus","WoRMS",NA,"Thresher Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","AVUL","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","vulpinus","Alopias vulpinus","WoRMS",NA,"Thresher Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BAITBALL","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS",NA,"Bait, Sardines/Anchovies","Several families and species represented.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BAITBALL","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS",NA,"Bait, Sardines/Anchovies","Several families and species represented.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BATH","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Bathymasteridae","spp","Bathymasteridae","WoRMS",NA,"Ronquils",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BATH","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Bathymasteridae","spp","Bathymasteridae","WoRMS",NA,"Ronquils",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BFRE","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","frenatus","Brachyistius frenatus","WoRMS",NA,"Kelp Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BFRE","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","frenatus","Brachyistius frenatus","WoRMS",NA,"Kelp Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BLEN","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Blenniidae","spp","Blenniidae","WoRMS",NA,"Blennies","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","BLEN","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Blenniidae","spp","Blenniidae","WoRMS",NA,"Blennies","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","BOTH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae","Bothidae","spp","Bothidae","WoRMS",NA,"Lefteyed Flounders",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BOTH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae","Bothidae","spp","Bothidae","WoRMS",NA,"Lefteyed Flounders",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BPOL","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","polylepis","Balistes polylepis","WoRMS",NA,"Finescale Triggerfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BPOL","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","polylepis","Balistes polylepis","WoRMS",NA,"Finescale Triggerfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BRAY","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Myliobatis californica","WoRMS",NA,"Bat Ray","Sized in span of pectoral fins ('wingspan'), instead of total length.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BRAY","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Myliobatis californica","WoRMS",NA,"Bat Ray","Sized in span of pectoral fins ('wingspan'), instead of total length.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CAGG","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Cymatogaster aggregata","WoRMS",NA,"Shiner Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CAGG","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Cymatogaster aggregata","WoRMS",NA,"Shiner Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CANA","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","analis","Clinocottus analis","WoRMS",NA,"Wooly Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","CGIG","Animalia","Chordata","Actinopterygii","Perciformes","Cryptacanthodidae","Cryptacanthodes","giganteus","Cryptacanthodes giganteus","WoRMS","279594","Giant Wrymouth","First observed/added in 2018",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CITH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","spp","Citharichthys","WoRMS","279699","Sanddabs",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CITH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","spp","Citharichthys","WoRMS","279699","Sanddabs",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CLIN","Animalia","Chordata","Actinopterygii","Perciformes","Clinidae","Clinidae","spp","Clinidae","WoRMS","279617","Kelpfishes And Fringeheads","Most species cryptic, not sampled effectively.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","CLIN","Animalia","Chordata","Actinopterygii","Perciformes","Clinidae","Clinidae","spp","Clinidae","WoRMS","279617","Kelpfishes And Fringeheads","Most species cryptic, not sampled effectively.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","CLUP","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS","279839","Sardines And Anchovies",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CLUP","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS","279839","Sardines And Anchovies",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CNUG","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Chirolophis","nugator","Chirolophis nugator","WoRMS","273016","Mosshead Warbonnet","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","CNUG","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Chirolophis","nugator","Chirolophis nugator","WoRMS","279560","Mosshead Warbonnet","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","COTT","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottidae","spp","Cottidae","WoRMS","279560","Sculpins","Most species cryptic, not sampled effectively.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","COTT","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottidae","spp","Cottidae","WoRMS","279630","Sculpins","Most species cryptic, not sampled effectively.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","CPRI","Animalia","Chordata","Actinopterygii","Perciformes","Malacanthidae","Caulolatilus","princeps","Caulolatilus princeps","WoRMS","278535","Ocean Whitefish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CPRI","Animalia","Chordata","Actinopterygii","Perciformes","Malacanthidae","Caulolatilus","princeps","Caulolatilus princeps","WoRMS","279605","Ocean Whitefish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CPUG","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Chitonotus","pugetensis","Chitonotus pugetensis","WoRMS","279605","Roughback Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","CPUG","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Chitonotus","pugetensis","Chitonotus pugetensis","WoRMS","279664","Roughback Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","CPUN","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Chromis","punctipinnis","Chromis punctipinnis","WoRMS","266995","Blacksmith",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CPUN","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Chromis","punctipinnis","Chromis punctipinnis","WoRMS","266995","Blacksmith",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CSAT","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Cheilotrema","saturnum","Cheilotrema saturnum","WoRMS","105836","Black Croaker",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CSAT","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Cheilotrema","saturnum","Cheilotrema saturnum","WoRMS","105836","Black Croaker",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CSOR","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","sordidus","Citharichthys sordidus","WoRMS","10297","Pacific Sanddab",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CSOR","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","sordidus","Citharichthys sordidus","WoRMS","10297","Pacific Sanddab",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CSTI","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","stigmaeus","Citharichthys stigmaeus","WoRMS","151388","Speckled Sanddab",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CSTI","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","stigmaeus","Citharichthys stigmaeus","WoRMS","151388","Speckled Sanddab",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CVEN","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","ventriosum","Cephaloscyllium ventriosum","WoRMS","240721","Swell Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CVEN","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","ventriosum","Cephaloscyllium ventriosum","WoRMS","240721","Swell Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CVIO","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Cebidichthys","violaceus","Cebidichthys violaceus","WoRMS","125519","Monkeyface Eel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CVIO","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Cebidichthys","violaceus","Cebidichthys violaceus","WoRMS","125519","Monkeyface Eel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","EBIS","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Enophrys","bison","Enophrys bison","WoRMS","125576","Buffalo Sculpin",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","EJAC","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","jacksoni","Embiotoca jacksoni","WoRMS","125576","Black Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","EJAC","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","jacksoni","Embiotoca jacksoni","WoRMS","275234","Black Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","ELAT","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","lateralis","Embiotoca lateralis","WoRMS","275234","Striped Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","ELAT","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","lateralis","Embiotoca lateralis","WoRMS","271485","Striped Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","EMBI","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotocidae","spp","Embiotocidae","WoRMS","271485","Surfperches",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","EMBI","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotocidae","spp","Embiotocidae","WoRMS","280461","Surfperches",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","EMOR","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","mordax","Engraulis mordax","WoRMS","280461","Northern Anchovy",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","EMOR","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","mordax","Engraulis mordax","WoRMS","280219","Northern Anchovy",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","EWAL","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Ernogrammus","walkeri","Ernogrammus walkeri","WoRMS","276392","Masked Prickleback",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","GBY","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","chrysomelas/carnatus young of year","Sebastes chrysomelas/carnatus","WoRMS","158786","Gopher and Black And Yellow Rockfish Young of Year","Consists of Gopher/Black and Yellow/Copper YOYs that are old enough to be distinguished from Kelp rockfish (subset of KGB YOYs).",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","GBY","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","chrysomelas/carnatus young of year","Sebastes chrysomelas/carnatus","WoRMS","158786","Gopher and Black And Yellow Rockfish Young of Year","Consists of Gopher/Black and Yellow/Copper YOYs that are old enough to be distinguished from Kelp rockfish (subset of KGB YOYs).",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","GELE","Animalia","Chordata","Actinopterygii","Perciformes","Clinidae","Gibbonsia","elegans","Gibbonsia elegans","WoRMS","125530","Spotted Kelpfish","Cryptic, not sampled effectiively. This species was counted on quadrats at southern California sites",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","GGAL","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus","galeus","Galeorhinus galeus","WoRMS","125530","Tope Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","GGAL","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus","galeus","Galeorhinus galeus","WoRMS","10297","Tope Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","GIBB","Animalia","Chordata","Actinopterygii","Perciformes","Clinidae","Gibbonsia","spp","Gibbonsia","WoRMS","10297","Kelpfish","Cryptic, not sampled effectiively. This species was counted on quadrats at southern California sites",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","GIBB","Animalia","Chordata","Actinopterygii","Perciformes","Clinidae","Gibbonsia","spp","Gibbonsia","WoRMS","254577","Kelpfish","Cryptic, not sampled effectiively. This species was counted on quadrats at southern California sites",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","GMAE","Animalia","Chordata","Actinopterygii","Gobiesociformes","Gobiesocidae","Gobiesox","maeandricus","Gobiesox maeandricus","WoRMS","254577","Northern Clingfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
